Item_Identifier,Outlet_Identifier,Predicted_Weekly_Demand,EOQ,Safety_Stock,Reorder_Point,Inventory_Status
FD,OUT013,1682.0302,2414.75,1468.59,3146.0,Medium Stock Required
FD,OUT010,182.05864,794.44,158.95,340.53,Low Stock Required
NC,OUT035,3080.2358,3267.74,2689.36,5761.17,High Stock Required
FD,OUT035,4020.851,3733.49,3510.6,7520.41,High Stock Required
FD,OUT046,2078.602,2684.37,1814.82,3887.73,Medium Stock Required
DR,OUT046,885.8641,1752.43,773.43,1656.9,Low Stock Required
FD,OUT013,1643.577,2386.99,1435.02,3074.07,Medium Stock Required
FD,OUT017,2961.3823,3204.08,2585.59,5538.89,Medium Stock Required
FD,OUT017,2061.4421,2673.26,1799.85,3855.61,Medium Stock Required
FD,OUT027,4933.2925,4135.47,4307.25,9227.06,High Stock Required
FD,OUT049,3084.1873,3269.84,2692.81,5768.54,High Stock Required
FD,OUT013,2967.436,3207.35,2590.87,5550.19,Medium Stock Required
FD,OUT013,658.20135,1510.55,574.67,1231.06,Low Stock Required
FD,OUT019,529.2106,1354.47,462.04,989.77,Low Stock Required
FD,OUT045,1448.3849,2240.77,1264.6,2709.05,Low Stock Required
FD,OUT035,2536.5388,2965.36,2214.66,4744.25,Medium Stock Required
FD,OUT017,3496.4553,3481.53,3052.74,6539.65,High Stock Required
NC,OUT027,3116.9854,3287.18,2721.45,5829.87,High Stock Required
FD,OUT017,1561.5935,2326.7,1363.43,2920.72,Medium Stock Required
FD,OUT045,2533.1611,2963.38,2211.69,4737.92,Medium Stock Required
FD,OUT027,2519.0376,2955.11,2199.38,4711.54,Medium Stock Required
FD,OUT017,2655.6833,3034.2,2318.69,4967.07,Medium Stock Required
NC,OUT046,4043.9634,3744.21,3530.76,7563.67,High Stock Required
FD,OUT013,2972.6746,3210.18,2595.41,5559.91,Medium Stock Required
NC,OUT045,3733.8164,3597.76,3259.97,6983.55,High Stock Required
NC,OUT049,2973.829,3210.81,2596.46,5562.15,Medium Stock Required
FD,OUT027,2537.56,2965.95,2215.53,4746.17,Medium Stock Required
FD,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
DR,OUT049,4029.9082,3737.69,3518.5,7537.34,High Stock Required
NC,OUT045,4043.7314,3744.1,3530.59,7563.22,High Stock Required
DR,OUT045,2907.3213,3174.7,2538.36,5437.69,Medium Stock Required
FD,OUT019,322.68842,1057.66,281.75,603.54,Low Stock Required
FD,OUT046,2527.3987,2960.01,2206.67,4727.16,Medium Stock Required
DR,OUT019,534.6927,1361.47,466.85,1000.11,Low Stock Required
FD,OUT013,2534.7576,2964.31,2213.08,4740.92,Medium Stock Required
DR,OUT035,2533.7395,2963.72,2212.21,4739.0,Medium Stock Required
FD,OUT018,1528.9636,2302.26,1334.92,2859.66,Medium Stock Required
NC,OUT046,1560.577,2325.94,1362.56,2918.87,Medium Stock Required
FD,OUT013,3071.9993,3263.37,2682.16,5745.71,High Stock Required
FD,OUT017,2903.0159,3172.35,2534.6,5429.66,Medium Stock Required
FD,OUT035,1644.1356,2387.4,1435.5,3075.11,Medium Stock Required
FD,OUT046,3871.2458,3663.38,3379.98,7240.62,High Stock Required
FD,OUT046,3735.642,3598.64,3261.59,6986.99,High Stock Required
FD,OUT045,727.3045,1587.87,635.0,1360.34,Low Stock Required
FD,OUT010,586.11084,1425.43,511.72,1096.22,Low Stock Required
FD,OUT045,2674.26,3044.79,2334.88,5001.81,Medium Stock Required
FD,OUT027,5353.9995,4308.19,4674.57,10013.89,High Stock Required
FD,OUT027,2551.003,2973.8,2227.27,4771.28,Medium Stock Required
FD,OUT018,1527.431,2301.11,1333.61,2856.88,Medium Stock Required
NC,OUT013,2088.085,2690.48,1823.12,3905.48,Medium Stock Required
FD,OUT046,730.61676,1591.48,637.89,1366.52,Low Stock Required
FD,OUT017,2061.4421,2673.26,1799.85,3855.61,Medium Stock Required
FD,OUT018,2340.8635,2848.68,2043.79,4378.22,Medium Stock Required
FD,OUT045,3082.435,3268.91,2691.28,5765.26,High Stock Required
NC,OUT013,1258.6857,2088.89,1098.97,2354.21,Low Stock Required
FD,OUT018,2349.3193,2853.82,2051.17,4394.07,Medium Stock Required
FD,OUT017,1561.5935,2326.7,1363.43,2920.72,Medium Stock Required
FD,OUT017,2808.5405,3120.3,2452.14,5252.98,Medium Stock Required
FD,OUT046,2078.602,2684.37,1814.82,3887.73,Medium Stock Required
DR,OUT019,505.6484,1323.98,441.48,945.76,Low Stock Required
NC,OUT027,5900.161,4522.6,5151.41,11035.4,High Stock Required
FD,OUT019,530.1435,1355.67,462.87,991.58,Low Stock Required
FD,OUT049,801.7382,1667.14,700.01,1499.55,Low Stock Required
FD,OUT027,1340.2151,2155.48,1170.13,2506.64,Low Stock Required
FD,OUT018,3452.7,3459.68,3014.55,6457.78,High Stock Required
FD,OUT010,404.88672,1184.74,353.52,757.28,Low Stock Required
FD,OUT046,3076.6726,3265.85,2686.22,5754.46,High Stock Required
FD,OUT010,160.28296,745.42,139.96,299.77,Low Stock Required
FD,OUT027,5949.374,4541.42,5194.37,11127.43,High Stock Required
FD,OUT035,1519.2163,2294.91,1326.41,2841.49,Medium Stock Required
DR,OUT027,2551.003,2973.8,2227.27,4771.28,Medium Stock Required
FD,OUT046,885.8641,1752.43,773.43,1656.9,Low Stock Required
FD,OUT013,1450.9675,2242.77,1266.82,2713.79,Low Stock Required
FD,OUT035,1564.2151,2328.65,1365.7,2925.65,Medium Stock Required
FD,OUT045,2000.9031,2633.72,1746.98,3742.4,Medium Stock Required
FD,OUT027,4849.041,4100.0,4233.7,9069.44,High Stock Required
NC,OUT017,633.73035,1482.2,553.33,1185.29,Low Stock Required
FD,OUT035,1397.3225,2200.92,1219.98,2613.47,Low Stock Required
FD,OUT049,1441.7411,2235.63,1258.79,2696.59,Low Stock Required
FD,OUT018,3093.465,3274.75,2700.88,5785.85,High Stock Required
FD,OUT027,4947.575,4141.45,4319.74,9253.76,High Stock Required
FD,OUT045,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
FD,OUT018,616.9064,1462.4,538.61,1153.84,Low Stock Required
FD,OUT018,1542.0787,2312.11,1346.4,2884.23,Medium Stock Required
FD,OUT013,1643.577,2386.99,1435.02,3074.07,Medium Stock Required
FD,OUT018,2750.166,3087.7,2401.15,5143.75,Medium Stock Required
FD,OUT013,2010.7026,2640.16,1755.54,3760.76,Medium Stock Required
NC,OUT035,1644.1356,2387.4,1435.5,3075.11,Medium Stock Required
FD,OUT010,190.76639,813.22,166.54,356.8,Low Stock Required
DR,OUT049,1258.0498,2088.36,1098.4,2353.01,Low Stock Required
FD,OUT019,339.24182,1084.45,296.2,634.51,Low Stock Required
FD,OUT018,616.9064,1462.4,538.61,1153.84,Low Stock Required
FD,OUT049,1066.8986,1923.17,931.51,1995.51,Low Stock Required
FD,OUT019,272.87662,972.61,238.27,510.43,Low Stock Required
FD,OUT013,2531.9583,2962.68,2210.64,4735.68,Medium Stock Required
DR,OUT010,480.05344,1290.03,419.13,897.86,Low Stock Required
FD,OUT046,660.839,1513.57,576.99,1236.04,Low Stock Required
DR,OUT049,1560.577,2325.94,1362.56,2918.87,Medium Stock Required
NC,OUT035,2079.9624,2685.24,1816.0,3890.24,Medium Stock Required
FD,OUT035,1450.9675,2242.77,1266.82,2713.79,Low Stock Required
NC,OUT045,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
NC,OUT035,2533.7395,2963.72,2212.21,4739.0,Medium Stock Required
FD,OUT027,4923.1787,4131.22,4298.44,9208.1,High Stock Required
NC,OUT017,1638.3053,2383.16,1430.4,3064.2,Medium Stock Required
NC,OUT027,1637.3009,2382.43,1429.52,3062.34,Medium Stock Required
FD,OUT049,2052.7944,2667.65,1792.3,3839.45,Medium Stock Required
FD,OUT045,4025.454,3735.63,3514.61,7529.04,High Stock Required
NC,OUT010,517.1326,1338.93,451.52,967.21,Low Stock Required
DR,OUT035,4053.0215,3748.4,3538.67,7580.61,High Stock Required
NC,OUT018,2467.2236,2924.56,2154.11,4614.54,Medium Stock Required
FD,OUT013,2088.085,2690.48,1823.12,3905.48,Medium Stock Required
FD,OUT018,709.74585,1568.58,619.68,1327.45,Low Stock Required
FD,OUT049,972.1773,1835.81,848.83,1818.33,Low Stock Required
DR,OUT045,1394.0952,2198.38,1217.19,2607.46,Low Stock Required
DR,OUT049,847.6157,1714.18,740.04,1585.36,Low Stock Required
FD,OUT017,2628.0642,3018.38,2294.54,4915.41,Medium Stock Required
NC,OUT035,3106.8513,3281.83,2712.58,5810.92,High Stock Required
FD,OUT013,3902.7703,3678.26,3407.48,7299.55,High Stock Required
FD,OUT046,3103.288,3279.95,2709.48,5804.25,High Stock Required
FD,OUT049,1053.6063,1911.15,919.9,1970.6,Low Stock Required
FD,OUT010,236.87381,906.18,206.79,443.04,Low Stock Required
FD,OUT027,2350.8594,2854.76,2052.52,4396.96,Medium Stock Required
FD,OUT049,2916.4548,3179.68,2546.35,5454.78,Medium Stock Required
FD,OUT045,2533.1611,2963.38,2211.69,4737.92,Medium Stock Required
FD,OUT010,482.68784,1293.57,421.44,902.83,Low Stock Required
FD,OUT045,3082.435,3268.91,2691.28,5765.26,High Stock Required
NC,OUT017,2644.8838,3028.02,2309.26,4946.93,Medium Stock Required
NC,OUT010,234.10788,900.87,204.39,437.84,Low Stock Required
FD,OUT010,113.96278,628.55,99.49,213.17,Low Stock Required
FD,OUT017,2524.0994,2958.08,2203.79,4720.99,Medium Stock Required
FD,OUT018,3169.3398,3314.67,2767.15,5927.79,High Stock Required
FD,OUT027,3065.0476,3259.68,2676.09,5732.71,High Stock Required
FD,OUT027,4849.041,4100.0,4233.7,9069.44,High Stock Required
FD,OUT027,1000.604,1862.46,873.62,1871.47,Low Stock Required
DR,OUT027,5881.924,4515.6,5135.47,11001.26,High Stock Required
FD,OUT035,1644.1356,2387.4,1435.5,3075.11,Medium Stock Required
FD,OUT018,2968.1667,3207.75,2591.49,5551.51,Medium Stock Required
FD,OUT035,4020.851,3733.49,3510.6,7520.41,High Stock Required
NC,OUT017,833.52106,1699.86,727.73,1558.98,Low Stock Required
NC,OUT010,238.39877,909.09,208.15,445.87,Low Stock Required
NC,OUT049,1660.994,2399.61,1450.22,3106.63,Medium Stock Required
FD,OUT035,3129.4287,3293.73,2732.32,5853.2,High Stock Required
FD,OUT013,4048.6628,3746.38,3534.87,7572.47,High Stock Required
DR,OUT049,3761.037,3610.85,3283.76,7034.5,High Stock Required
NC,OUT035,2833.1995,3133.97,2473.66,5299.07,Medium Stock Required
FD,OUT046,1630.8413,2377.73,1423.89,3050.27,Medium Stock Required
FD,OUT018,3232.1663,3347.36,2821.98,6045.27,High Stock Required
FD,OUT046,2527.3987,2960.01,2206.67,4727.16,Medium Stock Required
FD,OUT019,536.73816,1364.07,468.64,1003.93,Low Stock Required
FD,OUT035,736.06866,1597.41,642.64,1376.66,Low Stock Required
NC,OUT027,3882.531,3668.71,3389.85,7261.76,High Stock Required
FD,OUT019,516.3579,1337.92,450.82,965.74,Low Stock Required
FD,OUT017,3059.8726,3256.92,2671.55,5723.06,High Stock Required
FD,OUT046,2830.4243,3132.43,2471.22,5293.9,Medium Stock Required
FD,OUT019,182.82568,796.11,159.65,342.0,Low Stock Required
FD,OUT027,2990.3704,3219.72,2610.87,5593.08,Medium Stock Required
DR,OUT045,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
FD,OUT017,3055.6636,3254.68,2667.88,5715.19,High Stock Required
FD,OUT045,2559.7385,2978.89,2234.91,4787.67,Medium Stock Required
FD,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
FD,OUT046,2003.1805,2635.22,1748.99,3746.65,Medium Stock Required
FD,OUT049,4029.9082,3737.69,3518.5,7537.34,High Stock Required
FD,OUT017,1395.5991,2199.56,1218.5,2610.31,Low Stock Required
FD,OUT035,3088.149,3271.94,2696.26,5775.98,High Stock Required
FD,OUT046,2003.1805,2635.22,1748.99,3746.65,Medium Stock Required
FD,OUT027,3226.1775,3344.26,2816.79,6034.13,High Stock Required
NC,OUT019,67.94086,485.31,59.33,127.09,Low Stock Required
FD,OUT018,3077.2017,3266.13,2686.7,5755.5,High Stock Required
FD,OUT017,1450.9675,2242.77,1266.82,2713.79,Low Stock Required
FD,OUT013,4052.9768,3748.38,3538.67,7580.54,High Stock Required
NC,OUT017,2061.4421,2673.26,1799.85,3855.61,Medium Stock Required
FD,OUT019,249.0163,929.12,217.4,465.76,Low Stock Required
FD,OUT027,5900.161,4522.6,5151.41,11035.4,High Stock Required
FD,OUT046,2536.6196,2965.4,2214.7,4744.36,Medium Stock Required
NC,OUT046,3995.3396,3721.63,3488.33,7472.73,High Stock Required
DR,OUT019,355.2939,1109.81,310.21,664.55,Low Stock Required
FD,OUT013,2088.085,2690.48,1823.12,3905.48,Medium Stock Required
FD,OUT046,2830.4243,3132.43,2471.22,5293.9,Medium Stock Required
FD,OUT035,2924.511,3184.07,2553.38,5469.86,Medium Stock Required
NC,OUT045,2000.9031,2633.72,1746.98,3742.4,Medium Stock Required
FD,OUT035,1444.3237,2237.63,1261.02,2701.41,Low Stock Required
FD,OUT018,3145.4695,3302.16,2746.29,5883.13,High Stock Required
NC,OUT046,2657.698,3035.35,2320.43,4970.84,Medium Stock Required
FD,OUT019,547.3965,1377.55,477.93,1023.86,Low Stock Required
FD,OUT017,1561.5935,2326.7,1363.43,2920.72,Medium Stock Required
FD,OUT013,4086.1992,3763.71,3567.65,7642.63,High Stock Required
FD,OUT010,370.121,1132.73,323.13,692.24,Low Stock Required
FD,OUT035,1519.2163,2294.91,1326.41,2841.49,Medium Stock Required
FD,OUT045,1630.8413,2377.73,1423.89,3050.27,Medium Stock Required
FD,OUT046,1074.7365,1930.22,938.36,2010.13,Low Stock Required
FD,OUT049,1640.4976,2384.76,1432.32,3068.29,Medium Stock Required
NC,OUT017,2061.4421,2673.26,1799.85,3855.61,Medium Stock Required
NC,OUT046,2003.1805,2635.22,1748.99,3746.65,Medium Stock Required
FD,OUT019,527.0679,1351.73,460.17,985.8,Low Stock Required
FD,OUT017,2903.0159,3172.35,2534.6,5429.66,Medium Stock Required
FD,OUT010,113.96278,628.55,99.49,213.17,Low Stock Required
NC,OUT017,3529.109,3497.75,3081.25,6600.71,High Stock Required
FD,OUT010,274.80472,976.04,239.93,513.98,Low Stock Required
FD,OUT017,1638.3053,2383.16,1430.4,3064.2,Medium Stock Required
FD,OUT010,216.50034,866.33,189.03,404.91,Low Stock Required
FD,OUT017,1980.8514,2620.49,1729.48,3704.88,Medium Stock Required
DR,OUT013,722.75354,1582.89,631.03,1351.82,Low Stock Required
NC,OUT049,676.1349,1530.99,590.35,1264.66,Low Stock Required
FD,OUT010,157.31924,738.49,137.34,294.21,Low Stock Required
FD,OUT017,3972.057,3710.77,3467.99,7429.15,High Stock Required
FD,OUT045,4013.5999,3730.12,3504.27,7506.87,High Stock Required
FD,OUT010,451.39642,1250.94,394.12,844.29,Low Stock Required
FD,OUT019,257.6541,945.09,224.95,481.92,Low Stock Required
FD,OUT017,1638.3053,2383.16,1430.4,3064.2,Medium Stock Required
FD,OUT017,3737.2964,3599.44,3263.03,6990.11,High Stock Required
NC,OUT035,1516.6359,2292.96,1324.18,2836.67,Medium Stock Required
DR,OUT035,4020.851,3733.49,3510.6,7520.41,High Stock Required
FD,OUT027,3748.9548,3605.05,3273.2,7011.9,High Stock Required
FD,OUT046,1117.1293,1967.92,975.38,2089.43,Low Stock Required
FD,OUT013,672.19806,1526.53,586.9,1257.29,Low Stock Required
FD,OUT017,2966.981,3207.11,2590.48,5549.31,Medium Stock Required
NC,OUT049,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
FD,OUT018,2467.2236,2924.56,2154.11,4614.54,Medium Stock Required
FD,OUT027,4001.078,3724.3,3493.35,7483.49,High Stock Required
FD,OUT049,3084.1873,3269.84,2692.81,5768.54,High Stock Required
NC,OUT046,2830.4243,3132.43,2471.22,5293.9,Medium Stock Required
NC,OUT018,2750.166,3087.7,2401.15,5143.75,Medium Stock Required
NC,OUT017,3082.279,3268.83,2691.15,5764.99,High Stock Required
FD,OUT049,1678.9507,2412.54,1465.89,3140.22,Medium Stock Required
FD,OUT027,4071.5679,3756.96,3554.86,7615.28,High Stock Required
FD,OUT017,3501.5437,3484.06,3057.2,6549.15,High Stock Required
NC,OUT045,2000.9031,2633.72,1746.98,3742.4,Medium Stock Required
NC,OUT027,3799.3286,3629.19,3317.2,7106.09,High Stock Required
NC,OUT013,2531.9583,2962.68,2210.64,4735.68,Medium Stock Required
DR,OUT035,729.87726,1590.67,637.27,1365.13,Low Stock Required
FD,OUT035,1297.9323,2121.2,1133.24,2427.61,Low Stock Required
FD,OUT049,2916.4548,3179.68,2546.35,5454.78,Medium Stock Required
FD,OUT045,972.4473,1836.07,849.04,1818.82,Low Stock Required
FD,OUT046,2003.1805,2635.22,1748.99,3746.65,Medium Stock Required
FD,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
DR,OUT027,2535.1128,2964.52,2213.39,4741.58,Medium Stock Required
FD,OUT018,2850.6448,3143.6,2488.9,5331.74,Medium Stock Required
NC,OUT017,2530.9985,2962.12,2209.81,4733.87,Medium Stock Required
FD,OUT049,2532.7249,2963.13,2211.3,4737.11,Medium Stock Required
FD,OUT027,5900.161,4522.6,5151.41,11035.4,High Stock Required
FD,OUT049,4048.185,3746.16,3534.48,7571.59,High Stock Required
FD,OUT019,314.36078,1043.93,274.46,587.99,Low Stock Required
FD,OUT049,1448.3849,2240.77,1264.6,2709.05,Low Stock Required
DR,OUT013,833.52106,1699.86,727.73,1558.98,Low Stock Required
FD,OUT046,885.8641,1752.43,773.43,1656.9,Low Stock Required
FD,OUT013,672.19806,1526.53,586.9,1257.29,Low Stock Required
DR,OUT013,2010.7026,2640.16,1755.54,3760.76,Medium Stock Required
NC,OUT046,1640.4976,2384.76,1432.32,3068.29,Medium Stock Required
FD,OUT027,2284.964,2814.46,1994.98,4273.69,Medium Stock Required
FD,OUT027,3696.8784,3579.92,3227.76,6914.52,High Stock Required
NC,OUT013,3076.2083,3265.61,2685.82,5753.57,High Stock Required
FD,OUT045,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
NC,OUT045,2674.26,3044.79,2334.88,5001.81,Medium Stock Required
FD,OUT010,354.0233,1107.83,309.08,662.16,Low Stock Required
DR,OUT018,621.24927,1467.54,542.41,1161.98,Low Stock Required
NC,OUT010,583.2574,1421.96,509.23,1090.86,Low Stock Required
DR,OUT017,2961.3823,3204.08,2585.59,5538.89,Medium Stock Required
NC,OUT046,3918.9246,3685.87,3421.58,7329.75,High Stock Required
FD,OUT035,1644.1356,2387.4,1435.5,3075.11,Medium Stock Required
FD,OUT035,1450.9675,2242.77,1266.82,2713.79,Low Stock Required
FD,OUT035,2560.317,2979.22,2235.39,4788.71,Medium Stock Required
NC,OUT027,4233.5195,3830.95,3696.26,7918.17,High Stock Required
NC,OUT046,1624.3219,2372.97,1418.17,3038.04,Medium Stock Required
FD,OUT013,2967.436,3207.35,2590.87,5550.19,Medium Stock Required
FD,OUT027,4001.078,3724.3,3493.35,7483.49,High Stock Required
FD,OUT013,1444.3237,2237.63,1261.02,2701.41,Low Stock Required
NC,OUT013,3655.301,3559.73,3191.43,6836.75,High Stock Required
NC,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
FD,OUT017,2061.4421,2673.26,1799.85,3855.61,Medium Stock Required
NC,OUT017,1638.3053,2383.16,1430.4,3064.2,Medium Stock Required
FD,OUT018,1326.766,2144.63,1158.38,2481.52,Low Stock Required
FD,OUT017,3797.3267,3628.23,3315.46,7102.39,High Stock Required
FD,OUT046,3076.6726,3265.85,2686.22,5754.46,High Stock Required
FD,OUT045,3884.9075,3669.83,3391.9,7266.19,High Stock Required
FD,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
FD,OUT049,1630.8413,2377.73,1423.89,3050.27,Medium Stock Required
NC,OUT018,1835.8688,2522.77,1602.88,3433.73,Medium Stock Required
NC,OUT013,2915.3003,3179.05,2545.34,5452.65,Medium Stock Required
FD,OUT045,3095.8364,3276.01,2702.98,5790.33,High Stock Required
FD,OUT035,3088.149,3271.94,2696.26,5775.98,High Stock Required
FD,OUT027,3060.7131,3257.37,2672.29,5724.64,High Stock Required
FD,OUT010,194.35834,820.84,169.69,363.52,Low Stock Required
FD,OUT045,2076.3245,2682.9,1812.81,3883.48,Medium Stock Required
FD,OUT035,888.2813,1754.81,775.57,1661.42,Low Stock Required
FD,OUT018,630.9031,1478.9,550.84,1180.0,Low Stock Required
NC,OUT019,410.35065,1192.71,358.28,767.5,Low Stock Required
FD,OUT017,3496.4553,3481.53,3052.74,6539.65,High Stock Required
FD,OUT017,3963.451,3706.75,3460.48,7413.1,High Stock Required
FD,OUT019,131.91783,676.25,115.16,246.69,Low Stock Required
NC,OUT017,1638.3053,2383.16,1430.4,3064.2,Medium Stock Required
FD,OUT017,1980.8514,2620.49,1729.48,3704.88,Medium Stock Required
FD,OUT017,855.6886,1722.32,747.11,1600.48,Low Stock Required
FD,OUT045,1640.4976,2384.76,1432.32,3068.29,Medium Stock Required
NC,OUT027,3100.2043,3278.32,2706.78,5798.47,High Stock Required
FD,OUT017,3063.5767,3258.9,2674.82,5729.97,High Stock Required
FD,OUT018,2850.6448,3143.6,2488.9,5331.74,Medium Stock Required
DR,OUT017,639.99915,1489.52,558.78,1197.04,Low Stock Required
FD,OUT049,2845.3203,3140.66,2484.23,5321.75,Medium Stock Required
DR,OUT046,3871.2458,3663.38,3379.98,7240.62,High Stock Required
FD,OUT049,1640.4976,2384.76,1432.32,3068.29,Medium Stock Required
DR,OUT027,2551.003,2973.8,2227.27,4771.28,Medium Stock Required
FD,OUT017,2524.0994,2958.08,2203.79,4720.99,Medium Stock Required
FD,OUT027,5353.9995,4308.19,4674.57,10013.89,High Stock Required
FD,OUT046,2527.3987,2960.01,2206.67,4727.16,Medium Stock Required
FD,OUT049,1560.577,2325.94,1362.56,2918.87,Medium Stock Required
NC,OUT045,3082.435,3268.91,2691.28,5765.26,High Stock Required
FD,OUT013,722.75354,1582.89,631.03,1351.82,Low Stock Required
FD,OUT019,248.13715,927.47,216.66,464.11,Low Stock Required
DR,OUT035,660.0995,1512.73,576.33,1234.61,Low Stock Required
FD,OUT013,3621.1267,3543.06,3161.62,6772.85,High Stock Required
NC,OUT018,2858.4668,3147.91,2495.71,5346.32,Medium Stock Required
NC,OUT045,3932.5862,3692.28,3433.54,7355.36,High Stock Required
FD,OUT017,833.52106,1699.86,727.73,1558.98,Low Stock Required
FD,OUT049,2916.4548,3179.68,2546.35,5454.78,Medium Stock Required
FD,OUT013,2915.3003,3179.05,2545.34,5452.65,Medium Stock Required
FD,OUT010,667.4292,1521.1,582.75,1248.38,Low Stock Required
FD,OUT035,2079.9624,2685.24,1816.0,3890.24,Medium Stock Required
FD,OUT035,1444.3237,2237.63,1261.02,2701.41,Low Stock Required
NC,OUT045,727.3045,1587.87,635.0,1360.34,Low Stock Required
DR,OUT018,630.9031,1478.9,550.84,1180.0,Low Stock Required
NC,OUT018,1848.1575,2531.19,1613.62,3456.72,Medium Stock Required
FD,OUT018,1761.8226,2471.37,1538.22,3295.22,Medium Stock Required
FD,OUT035,1644.1356,2387.4,1435.5,3075.11,Medium Stock Required
FD,OUT013,2661.275,3037.39,2323.58,4977.56,Medium Stock Required
FD,OUT046,2655.3855,3034.03,2318.42,4966.52,Medium Stock Required
FD,OUT017,3904.7393,3679.19,3409.23,7303.26,High Stock Required
FD,OUT019,340.07916,1085.79,296.94,636.09,Low Stock Required
NC,OUT019,315.43634,1045.71,275.42,590.0,Low Stock Required
FD,OUT027,4071.5679,3756.96,3554.86,7615.28,High Stock Required
FD,OUT017,3934.3108,3693.09,3435.03,7358.53,High Stock Required
FD,OUT046,1619.036,2369.1,1413.59,3028.21,Medium Stock Required
FD,OUT017,3963.451,3706.75,3460.48,7413.1,High Stock Required
FD,OUT010,577.7511,1415.23,504.43,1080.6,Low Stock Required
FD,OUT017,2524.0994,2958.08,2203.79,4720.99,Medium Stock Required
FD,OUT045,3628.3308,3546.58,3167.9,6786.27,High Stock Required
FD,OUT049,1624.3219,2372.97,1418.17,3038.04,Medium Stock Required
FD,OUT035,2971.8018,3209.71,2594.67,5558.33,Medium Stock Required
